County ,Latitude,Longitude,Address
Fulton,33.77675402,-84.36566473,"650 Ponce De Leon Ave NE, Atlanta, GA 30308"
Fulton,34.02162761,-84.18270729,"5945 State Bridge Rd, Duluth, GA 30097"
DeKalb,33.89647092,-84.3161268,"5001 Peachtree Blvd Bldg 300, Atlanta, GA 30341"
Fulton,33.8488353,-84.38238418,"77 W Paces Ferry Rd NW, Atlanta, GA 30305"
DeKalb,33.79938998,-84.28649161,"1555 Church St, Decatur, GA 30033"
Fulton,33.85242772,-84.43045486,"3535 Northside Pkwy NW, Atlanta, GA 30327"
Fulton,33.92635245,-84.37371396,"5930 Roswell Rd, Atlanta, GA 30328"
Fulton,33.79069923,-84.38955446,"22 14th St NW, Atlanta, GA 30309"
Chatham,32.04673322,-81.06793803,"1815 E Victory Dr Ste 101, Savannah, GA 31404"
Fulton,34.08086118,-84.27879635,"2800 Old Milton Pkwy, Alpharetta, GA 30009"
Cobb,34.00112855,-84.58707539,"1300 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144"
Cobb,33.98211369,-84.42764195,"1311 Johnson Ferry Rd #580, Marietta, GA 30068"