Country Name,Country Code,gdp_2012,gdp_2021,gdp_2022,Relative Change GDP 
Aruba,ABW,25609.95572,29342.10073,,14.57302406
Africa Eastern and Southern,AFE,1765.250073,1539.165543,1622.39172,-8.092811052
Afghanistan,AFG,663.1410528,363.6740871,,-45.15886393
Africa Western and Central,AFW,1957.519614,1765.965307,1790.3488,-8.539930471
Angola,AGO,4962.552072,1903.717405,2998.501158,-39.57743688
Albania,ALB,4247.631356,6377.203096,6802.804519,60.15524769
Andorra,AND,44902.38077,42072.3411,41992.79336,-6.479806549
Arab World,ARB,7365.456849,6414.725618,7655.848402,3.942614273
United Arab Emirates,ARE,44386.78608,44315.55418,53757.86325,21.11231291
Argentina,ARG,13082.66433,10636.11553,13686.00867,4.611784915
Armenia,ARM,3643.715404,4966.513471,7014.206592,92.50149406
American Samoa,ASM,11920.06109,15743.31076,,32.07407782
Antigua and Barbuda,ATG,13686.47659,16740.3482,18745.17351,36.96127989
Australia,AUS,68047.37818,60444.50236,64491.42989,-5.225694781
Austria,AUT,48564.91734,53637.70571,52131.44666,7.343838959
Azerbaijan,AZE,7495.861942,5408.045352,7736.701232,3.212963257
Burundi,BDI,238.2059453,221.1578034,238.4418757,0.099044715
Belgium,BEL,44670.56068,51268.38804,49582.82536,10.99664881
Benin,BEN,1112.569535,1361.100749,1303.222014,17.13623041
Burkina Faso,BFA,733.9728789,893.077196,832.8842657,13.47616372
Bangladesh,BGD,876.8180068,2457.924049,2688.30395,206.5977123
Bulgaria,BGR,7431.014045,12222.23565,13772.47679,85.33778441
Bahrain,BHR,25102.72635,26860.0725,30152.03468,20.11458142
"Bahamas, The",BHS,28059.6554,28260.43255,31458.30081,12.11221364
Bosnia and Herzegovina,BIH,4688.345902,7230.198163,7585.375002,61.79213651
Belarus,BLR,6953.217307,7489.718947,7904.856243,13.68631087
Belize,BLZ,5645.895822,6228.267309,6968.361585,23.42348858
Bermuda,BMU,98431.86518,111774.6691,118845.6211,20.73897094
Bolivia,BOL,2562.466784,3345.196588,3523.273733,37.49539135
Brazil,BRA,12327.51556,7696.785531,8917.673898,-27.66041256
Barbados,BRB,16691.33264,17225.4623,20018.51515,19.93359417
Brunei Darussalam,BRN,46844.19672,31448.91361,37152.46624,-20.68928738
Bhutan,BTN,2470.072136,3266.362774,,32.23754588
Botswana,BWA,6392.987347,7238.796096,7737.654681,21.03347404
Central African Republic,CAF,525.8675036,461.1375109,427.0580963,-18.78979146
Canada,CAN,52669.08996,52358.62164,54966.48884,4.361949071
Central Europe and the Baltics,CEB,13074.23824,18790.41816,19337.88903,47.90834215
Switzerland,CHE,85836.20768,91991.60046,92101.46974,7.29909001
Channel Islands,CHI,,67960.727,,0
Chile,CHL,15406.49284,16247.40102,15355.5065,-0.330940601
China,CHN,6300.582352,12617.50499,12720.21564,101.8895227
Cote d'Ivoire,CIV,1649.301615,2613.378893,2486.412194,50.75545742
Cameroon,CMR,1433.723927,1666.932809,1588.478723,10.79390482
"Congo, Dem. Rep.",COD,412.7762607,577.2092152,586.4642889,42.07800805
"Congo, Rep.",COG,3753.860925,2290.382994,2447.988989,-34.78743518
Colombia,COL,8096.80151,6182.707099,6630.282726,-18.11232228
Comoros,COM,1483.951559,1577.470841,1484.892465,0.063405439
Cabo Verde,CPV,3583.461717,3557.837775,3902.589049,8.905559964
Costa Rica,CRI,9971.651656,12537.25675,13198.82172,32.36344565
Caribbean small states,CSS,10416.84121,10114.14684,12382.37538,18.86881186
Cuba,CUB,6467.337914,,,46.88563252
Curacao,CUW,19886.67837,17717.59648,,-10.90721059
Cayman Islands,CYM,75466.13587,88475.60088,,17.23881163
Cyprus,CYP,28991.92969,31552.03516,31283.50586,7.904186422
Czechia,CZE,19870.80121,26822.51419,27638.37328,39.09038185
Germany,DEU,43855.85447,51203.55447,48432.45587,10.43555406
Djibouti,DJI,1418.460858,3050.306282,3136.11296,121.0926683
Dominica,DMA,7054.875977,7668.158132,8414.536593,19.27263669
Denmark,DNK,58507.50805,68007.75667,66983.132,14.48638685
Dominican Republic,DOM,6049.471611,8476.749688,10120.55116,67.29644853
Algeria,DZA,5610.733306,3700.311195,4273.922183,-23.82596089
East Asia & Pacific (excluding high income),EAP,5375.84283,9812.145975,9952.188121,85.1279592
Early-demographic dividend,EAR,3348.112789,3714.713915,4069.176012,21.53640777
East Asia & Pacific,EAS,9435.97324,13119.40565,12906.69401,36.78179963
Europe & Central Asia (excluding high income),ECA,10208.41973,8919.908636,10376.78025,1.649231952
Europe & Central Asia,ECS,25093.6904,27239.94011,27363.87464,9.046832904
Ecuador,ECU,5678.455721,5965.132871,6391.282484,12.55317991
"Egypt, Arab Rep.",EGY,3059.135428,3886.722498,4295.407496,40.41246611
Euro area,EMU,37594.91772,42472.33269,40755.04738,8.405736338
Eritrea,ERI,,,,0
Spain,ESP,28322.94659,30103.51373,29350.16852,3.626818724
Estonia,EST,17403.20533,27943.70122,28332.62909,62.80121134
Ethiopia,ETH,458.5509208,925.0006972,1027.585918,124.0941783
European Union,EUU,33170.15826,38436.14921,37149.60859,11.99707972
Fragile and conflict affected situations,FCS,2307.314323,1780.261392,1857.0116,-19.51631464
Finland,FIN,47708.06128,53489.75202,50536.62447,5.928899884
Fiji,FJI,4359.792845,4646.537921,5316.658385,21.94750012
France,FRA,40870.85236,43658.97898,40963.83734,0.227509275
Faroe Islands,FRO,50157.0628,69010.1662,,37.58813285
"Micronesia, Fed. Sts.",FSM,3023.585446,3571.336769,3741.057769,23.72918959
Gabon,GAB,9348.514868,8635.797144,8820.347338,-5.649747981
United Kingdom,GBR,42485.58607,46585.89756,45850.42612,7.919956769
Georgia,GEO,4421.929819,5023.274384,6627.70698,49.88268135
Ghana,GHA,1536.619916,2410.877309,2175.85977,41.60038845
Gibraltar,GIB,,,,0
Guinea,GIN,707.9676782,1189.175999,1531.656475,116.345537
"Gambia, The",GMB,686.5575601,772.1514524,840.0101934,22.35102229
Guinea-Bissau,GNB,598.5726262,795.118605,775.8289657,29.61317169
Equatorial Guinea,GNQ,18756.42501,7506.667861,7053.467085,-62.39439509
Greece,GRC,21912.99829,20192.5963,20732.05222,-5.389249131
Grenada,GRD,6900.765076,9010.5128,10016.20869,45.14635087
Greenland,GRL,45936.95995,57116.41387,,24.33651233
Guatemala,GTM,3355.034599,5029.477338,5473.208741,63.13419667
Guam,GUM,31642.14626,35904.86355,,13.47164397
Guyana,GUY,5461.390076,9998.544311,18989.7902,247.7098309
High income,HIC,41480.20277,48351.07207,49430.32936,19.16607456
"Hong Kong SAR, China",HKG,36730.79777,49764.79312,48983.6238,33.35845332
Honduras,HND,2107.345481,2771.722616,3040.17308,44.26552777
Heavily indebted poor countries (HIPC),HPC,912.7737784,1043.67963,1097.051659,20.18877897
Croatia,HRV,13410.82081,17747.78929,18413.23468,37.30132511
Haiti,HTI,1356.172777,1823.742224,1748.257132,28.91109169
Hungary,HUN,12984.83657,18772.14111,18463.20852,42.19053448
IBRD only,IBD,5583.262876,7275.454626,7658.320887,37.16568711
IDA & IBRD total,IBT,4518.830469,5712.35779,5988.572797,32.52483885
IDA total,IDA,1267.391891,1461.61016,1528.972799,20.63930737
IDA blend,IDB,1833.522756,1842.031993,1930.612819,5.295274503
Indonesia,IDN,3668.212084,4334.215983,4787.999308,30.52678521
IDA only,IDX,981.987505,1273.743881,1330.854544,35.52662709
Isle of Man,IMN,79326.383,,,0.257445849
India,IND,1434.017978,2238.127139,2388.621198,66.56842764
Not classified,INX,,,,0
Ireland,IRL,49054.69743,100172.0793,104038.9461,112.0876319
"Iran, Islamic Rep.",IRN,8329.002067,4084.200305,4387.825715,-47.31871022
Iraq,IRQ,6437.503076,4770.835343,5937.195466,-7.771764985
Iceland,ISL,45995.54788,68594.0081,72902.97995,58.50007949
Israel,ISR,33156.22832,52166.81216,54659.75396,64.85516215
Italy,ITA,35051.52127,35770.04961,34157.99012,-2.549193637
Jamaica,JAM,5365.242149,5183.5811,6047.216464,12.71096991
Jordan,JOR,4386.461819,4046.931467,4204.50564,-4.14813092
Japan,JPN,49145.28043,39827.12677,33815.31727,-31.19315431
Kazakhstan,KAZ,12386.69927,10373.78979,11243.67123,-9.227866238
Kenya,KEN,1289.780795,2069.661137,2099.301938,62.76424228
Kyrgyz Republic,KGZ,1177.975258,1306.177992,1606.668075,36.39234475
Cambodia,KHM,950.4825446,1625.235022,1786.560819,87.96355905
Kiribati,KIR,1698.91907,1766.143945,1701.970123,0.179587895
St. Kitts and Nevis,KNA,17293.80605,18082.68799,20176.74758,16.67037043
"Korea, Rep.",KOR,25466.76052,34997.78164,32254.62472,26.65381879
Kuwait,KWT,51271.14865,32186.76541,43233.48909,-15.67676904
Latin America & Caribbean (excluding high income),LAC,9692.404612,7804.448212,8884.682735,-8.333555081
Lao PDR,LAO,1566.009745,2535.623434,2088.377182,33.35658917
Lebanon,LBN,8500.180563,4136.146575,,-51.34048572
Liberia,LBR,644.4555767,675.6631858,754.5328769,17.08066532
Libya,LBY,15765.41979,5908.951323,6716.095985,-57.39982776
St. Lucia,LCA,9231.661827,9414.137741,11481.49672,24.37085473
Latin America & Caribbean,LCN,10221.92606,8413.260117,9474.467688,-7.312304625
Least developed countries: UN classification,LDC,950.8895163,1151.781836,1259.1412,32.41719237
Low income,LIC,756.6619014,682.7826691,741.2443633,-2.037572933
Liechtenstein,LIE,149461.7089,184083.3214,,23.16420223
Sri Lanka,LKA,3351.892489,3994.246958,3354.383408,0.07431381
Lower middle income,LMC,1971.997157,2404.551794,2542.199938,28.91499001
Low & middle income,LMY,4340.914714,5520.31845,5793.343949,33.45905945
Lesotho,LSO,1205.860003,1040.308623,1107.395298,-8.165517121
Late-demographic dividend,LTE,7991.706227,11554.28688,12074.47702,51.08759853
Lithuania,LTU,14367.70942,23712.53578,24826.79104,72.79574854
Luxembourg,LUX,112584.6763,133590.147,126426.0899,12.29422516
Latvia,LVA,13847.33794,21080.17745,21851.1052,57.80004283
"Macao SAR, China",MAC,74111.60582,43873.41716,31617.5019,-57.33798836
St. Martin (French part),MAF,,,,0
Morocco,MAR,3164.004639,3795.386963,3527.941895,11.50242485
Monaco,MCO,165497.0722,234317.0848,,41.58382483
Moldova,MDA,3044.808479,5235.636044,5562.613625,82.69174115
Madagascar,MDG,504.1737378,503.3520811,505.0355276,0.170931117
Maldives,MDV,7447.415454,10366.25678,11817.52393,58.67953121
Middle East & North Africa,MEA,8794.730605,7694.855169,8949.396779,1.758623214
Mexico,MEX,10376.0905,10045.67637,11091.30543,6.892913376
Marshall Islands,MHL,3445.315403,6172.145065,6727.799562,95.27383636
Middle income,MIC,4701.042728,6078.453807,6388.158169,35.88811118
North Macedonia,MKD,4728.313079,6694.641126,6591.471292,39.40429032
Mali,MLI,753.3921368,881.5100886,833.2972552,10.60604624
Malta,MLT,22526.65578,34218.21474,33940.9496,50.67016574
Myanmar,MMR,1161.305962,1210.540688,1095.70179,-5.649172065
Middle East & North Africa (excluding high income),MNA,4953.991491,3604.888758,3952.111391,-20.22369441
Montenegro,MNE,6586.398684,9465.966408,9893.515907,50.21131246
Mongolia,MNG,4402.304523,4566.140131,4946.754811,12.3673927
Northern Mariana Islands,MNP,14247.7893,,,21.44285528
Mozambique,MOZ,667.7177895,491.8390749,541.4544255,-18.90968999
Mauritania,MRT,1850.384968,2166.044797,2190.700205,18.3915911
Mauritius,MUS,9291.236379,9062.722476,10216.29474,9.956246115
Malawi,MWI,563.0615397,633.6097333,645.1586921,14.58049371
Malaysia,MYS,10601.51091,11109.26529,11971.9276,12.9266168
North America,NAC,51881.17089,68382.93995,74164.65302,42.95100081
Namibia,NAM,6017.178488,4919.188955,4911.327635,-18.37822919
New Caledonia,NCL,37294.02281,36668.42535,,-1.677473796
Niger,NER,525.0472844,590.6294814,533.0287638,1.520144878
Nigeria,NGA,2728.022683,2065.749068,2184.421493,-19.92656415
Nicaragua,NIC,1746.421289,2064.925116,2255.425986,29.14558476
Netherlands,NLD,50070.1416,57708.11121,55985.40343,11.81395067
Norway,NOR,102175.9193,90655.39102,106148.7786,3.88825403
Nepal,NPL,794.0925593,1229.394205,1336.546047,68.31111579
Nauru,NRU,9675.959264,11632.69149,11913.65733,23.12636923
New Zealand,NZL,39973.38076,49996.42067,48249.26402,20.70348593
OECD members,OED,37241.00047,42522.45009,43260.7027,16.16417968
Oman,OMN,24722.63882,19509.46646,25056.79486,1.351619633
Other small states,OSS,14990.61435,13931.79672,15990.64736,6.671060883
Pakistan,PAK,1109.678735,1505.010193,1596.662661,43.88512735
Panama,PAN,10767.29318,15491.28979,17357.62863,61.20698434
Peru,PER,6475.719417,6635.463923,7125.829235,10.03919065
Philippines,PHL,2671.777538,3460.539401,3498.509816,30.94315549
Palau,PLW,11835.38393,12083.88815,,2.09967181
Papua New Guinea,PNG,2653.092358,2644.537173,3020.269646,13.83959691
Poland,POL,13010.75692,17999.83227,18321.28089,40.81641063
Pre-demographic dividend,PRE,1709.682289,1413.97366,1553.280512,-9.14800241
Puerto Rico,PRI,27944.73389,32601.56564,35208.63719,25.99381811
"Korea, Dem. People's Rep.",PRK,,,,0
Portugal,PRT,20563.7136,24598.47279,24274.51658,18.04539322
Paraguay,PRY,5621.244026,5959.441763,6153.055677,9.460746563
West Bank and Gaza,PSE,3067.438727,3678.635657,3789.327966,23.53394161
Pacific island small states,PSS,3484.203196,3641.558247,3874.934178,11.21435691
Post-demographic dividend,PST,42289.86207,49340.46648,50307.66936,18.95917106
French Polynesia,PYF,19864.53568,19999.07676,,0.677292851
Qatar,QAT,98041.36224,66838.32764,88046.32042,-10.19471944
Romania,ROU,8930.729912,14927.11686,15892.11853,77.94870841
Russian Federation,RUS,15420.8584,12593.15723,15345.09668,-0.491293792
Rwanda,RWA,706.139034,821.2281941,966.3271101,36.84657887
South Asia,SAS,1347.450817,2136.15806,2272.454739,68.64843676
Saudi Arabia,SAU,24069.20331,24160.67605,30436.2783,26.45320208
Sudan,SDN,1797.400757,749.7067871,1102.146484,-38.68109381
Senegal,SEN,1334.725914,1633.560119,1598.735991,19.78009674
Singapore,SGP,55547.54625,77710.06996,82807.64908,49.07526015
Solomon Islands,SLB,2087.637662,2232.536956,2203.18966,5.53506004
Sierra Leone,SLE,558.1797747,504.6212722,461.3611383,-17.34542181
El Salvador,SLV,3471.051269,4664.311223,5127.321668,47.7166792
San Marino,SMR,48433.5703,54982.45172,,13.5213683
Somalia,SOM,,446.9815596,461.77585,29.6693723
Serbia,SRB,6015.945228,9230.174447,9393.628906,56.14551912
Sub-Saharan Africa (excluding high income),SSA,1841.971772,1630.031542,1689.215655,-8.293075894
South Sudan,SSD,1114.923723,,,0
Sub-Saharan Africa,SSF,1842.969087,1630.983903,1690.387566,-8.279114505
Small states,SST,13385.11539,12638.57031,14626.50571,9.274408803
Sao Tome and Principe,STP,1319.900833,2360.543554,2404.258693,82.15449471
Suriname,SUR,8922.956186,4869.134226,5858.28606,-34.3459058
Slovak Republic,SVK,17498.3539,21782.85507,21258.11414,21.4863653
Slovenia,SVN,22641.80512,29291.40062,29457.40284,30.10183015
Sweden,SWE,58037.82132,61143.22124,55873.22081,-3.729637779
Eswatini,SWZ,4396.57932,3982.905229,4039.518036,-8.121342935
Sint Maarten (Dutch part),SXM,28460.33262,32316.59598,36220.33801,27.26603899
Seychelles,SYC,12342.51009,12963.06467,15874.54007,28.61678827
Syrian Arab Republic,SYR,1910.604526,,,-71.88265002
Turks and Caicos Islands,TCA,22666.40691,23158.6379,24917.59581,9.931829553
Chad,TCD,969.6161419,685.690315,716.8043812,-26.07338613
East Asia & Pacific (IDA & IBRD countries),TEA,5436.729682,9921.177706,10062.92244,85.09146175
Europe & Central Asia (IDA & IBRD countries),TEC,10420.82559,9983.847669,11324.51067,8.671914449
Togo,TGO,759.8959722,964.0500102,918.3767558,20.85558937
Thailand,THA,5748.632782,7060.897609,6908.802119,20.18165677
Tajikistan,TJK,959.3602175,916.6919671,1054.189484,9.884636112
Turkmenistan,TKM,6441.886618,,,13.27706423
Latin America & the Caribbean (IDA & IBRD countries),TLA,10149.1207,8195.12866,9237.903749,-8.9782847
Timor-Leste,TLS,1019.964911,2741.393945,2358.409054,131.2245283
Middle East & North Africa (IDA & IBRD countries),TMN,4975.306662,3604.012298,3954.094041,-20.52562164
Tonga,TON,4378.572815,4425.970591,,1.082493726
South Asia (IDA & IBRD),TSA,1347.450817,2136.15806,2272.454739,68.64843676
Sub-Saharan Africa (IDA & IBRD countries),TSS,1842.969087,1630.983903,1690.387566,-8.279114505
Trinidad and Tobago,TTO,18961.23359,16032.50277,18222.26033,-3.897284723
Tunisia,TUN,4233.917158,3807.184563,3776.667779,-10.79967704
Turkiye,TUR,11697.47436,9661.227734,10616.06104,-9.244844543
Tuvalu,TUV,3624.984174,5372.756766,5334.988605,47.17274197
Tanzania,TZA,854.5432129,1146.031982,1192.403809,39.53698198
Uganda,UGA,796.7111393,883.4657281,964.2243852,21.02559355
Ukraine,UKR,4004.789795,4827.845703,4533.975586,13.2138219
Upper middle income,UMC,7596.716989,10257.27978,10794.93186,42.09996075
Uruguay,URY,16087.25208,17923.99533,20795.04235,29.26410456
United States,USA,51784.41857,70219.47245,76398.59174,47.53200644
Uzbekistan,UZB,2267.623275,1993.424478,2255.151155,-0.550008466
St. Vincent and the Grenadines,VCT,6754.370184,8360.101059,9125.317497,35.10241885
"Venezuela, RB",VEN,12937.9276,,,0
British Virgin Islands,VGB,,,,0
Virgin Islands (U.S.),VIR,37795.31926,,,4.648325175
Viet Nam,VNM,2190.232284,3756.489122,4163.5143,90.09464569
Vanuatu,VUT,2906.342461,3044.57364,3010.292173,3.576650494
World,WLD,10575.66013,12282.00007,12647.48079,19.59046182
Samoa,WSM,3902.312164,3857.356685,3743.205679,-4.077236221
Kosovo,XKX,3410.692727,5269.783901,5351.439542,56.90183697
"Yemen, Rep.",YEM,1349.990295,603.7079594,676.928385,-49.85679619
South Africa,ZAF,8173.869138,7055.055176,6776.480077,-17.09580906
Zambia,ZMB,1729.647471,1137.344395,1487.907764,-13.97624146
Zimbabwe,ZWE,1290.193957,1773.920411,1266.996031,-1.798018497