internet ISO3,Country/area,2012,2021,Absolute Change internet ,Relative Change (internet users per 100 people)
AFG,Afghanistan,5.5,18.4,12.9,237
ALB,Albania,49.4,79.3,29.9,61
DZA,Algeria,18.2,62.9,44.7,246
AND,Andorra,82.7,91.6,8.9,11
AGO,Angola,7.7,36,28.3,368
ATG,Antigua and Barbuda,58,73,15,26
ARG,Argentina,55.8,87.1,31.3,56
ARM,Armenia,37.5,76.5,39,104
ABW,Aruba,74,97.2,23.2,31
AUS,Australia,79,89.6,10.6,13
AUT,Austria,80,92.5,12.5,16
AZE,Azerbaijan,54.2,84.6,30.4,56
BHS,Bahamas,71.7,87,15.3,21
BHR,Bahrain,88,100,12,14
BGD,Bangladesh,5,24.8,19.8,396
BRB,Barbados,71.2,81.8,10.6,15
BLR,Belarus,46.9,86.9,40,85
BEL,Belgium,80.7,92.8,12.1,15
BLZ,Belize,31,50.8,19.8,64
BEN,Benin,4.5,25.8,21.3,473
BMU,Bermuda,91.3,98.4,7.1,8
BTN,Bhutan,15.6,85.6,70,449
BOL,Bolivia,35.3,59.9,24.6,70
BIH,Bosnia and Herzegovina,45.1,75.7,30.6,68
BWA,Botswana,16,64,48,300
BRA,Brazil,48.6,81.3,32.8,68
VGB,British Virgin Islands,37.6,77.7,40.1,107
BRN,Brunei,60.3,95,34.7,58
BGR,Bulgaria,51.9,75.3,23.4,45
BFA,Burkina Faso,3.7,22,18.3,491
BDI,Burundi,1.2,9.4,8.2,670
KHM,Cambodia,4.9,32.9,28,566
CMR,Cameroon,7.5,37.8,30.3,404
CAN,Canada,83,92.3,9.3,11
CPV,Cape Verde,34.7,64.5,29.8,86
CYM,Cayman Islands,69.7,81.1,11.4,16
CAF,Central African Republic,2.4,10.4,8,333
TCD,Chad,2.1,10.4,8.3,395
CHL,Chile,55,88.3,33.3,60
CHN,China,42.3,73.1,30.8,73
COL,Colombia,49,69.8,20.8,42
COM,Comoros,6,8.5,2.5,42
COG,Congo,6.1,8.7,2.5,42
CRI,Costa Rica,47.5,82.7,35.2,74
CIV,Cote d'Ivoire,4.4,36.3,31.9,725
HRV,Croatia,61.9,81.3,19.3,31
CUB,Cuba,21.2,71.1,49.9,235
CUW,Curacao,61.9,68.1,6.3,10
CYP,Cyprus,60.7,90.8,30.1,50
CZE,Czechia,73.4,82.7,9.2,13
COD,Democratic Republic of Congo,1.7,13.6,11.9,710
DNK,Denmark,92.3,98.9,6.6,7
DJI,Djibouti,9.4,59,49.6,528
DMA,Dominica,49.8,69.6,19.8,40
DOM,Dominican Republic,42.3,76.9,34.6,82
TLS,East Timor,7,29.1,22.1,316
ECU,Ecuador,35.1,70.7,35.6,101
EGY,Egypt,26.4,71.9,45.5,172
SLV,El Salvador,20.3,54.6,34.3,169
GNQ,Equatorial Guinea,13.9,26.2,12.3,88
ERI,Eritrea,0.8,1.3,0.5,64
EST,Estonia,78.4,91,12.6,16
SWZ,Eswatini,20.8,30.3,9.5,46
ETH,Ethiopia,2.9,16.7,13.8,476
FJI,Fiji,33.7,68.9,35.2,104
FIN,Finland,89.9,92.8,2.9,3
FRA,France,81.4,86.1,4.7,6
PYF,French Polynesia,52.9,72.7,19.8,37
GAB,Gabon,24,62,38,158
GMB,Gambia,12.4,36.5,24.1,193
GEO,Georgia,36.9,76.4,39.5,107
DEU,Germany,82.3,91.4,9.1,11
GHA,Ghana,10.6,68.6,58,547
GIB,Gibraltar,65,94.4,29.4,45
GRC,Greece,55.1,78.5,23.4,43
GRL,Greenland,64.9,69.5,4.6,7
GRD,Grenada,32,56.9,24.9,78
GUM,Guam,61.5,80.5,19,31
GTM,Guatemala,16,50.8,34.8,218
GIN,Guinea,3.1,26,22.9,739
GNB,Guinea-Bissau,2.9,22.9,20,691
GUY,Guyana,30.5,37.3,6.8,22
HTI,Haiti,9.8,34.5,24.7,252
HND,Honduras,18.1,42,23.9,132
HKG,Hong Kong,72.9,93.1,20.2,28
HUN,Hungary,70.6,88.6,18.1,26
ISL,Iceland,96.2,99.7,3.5,4
IND,India,11.1,43,31.9,287
IDN,Indonesia,14.5,62.1,47.6,328
IRN,Iran,22.7,78.6,55.9,246
IRQ,Iraq,7.1,44.3,37.2,524
IRL,Ireland,76.9,92,15.1,20
ISR,Israel,70.8,90.1,19.3,27
ITA,Italy,55.8,74.9,19,34
JAM,Jamaica,33.8,68.2,34.4,102
JPN,Japan,79.5,90.2,10.7,13
JOR,Jordan,37,65.2,28.2,76
KAZ,Kazakhstan,61.9,90.9,29,47
KEN,Kenya,10.5,29.5,19,181
KIR,Kiribati,10.7,38,27.3,254
XKX,Kosovo,83.9,89.4,5.5,7
KWT,Kuwait,70.5,99.7,29.3,42
KGZ,Kyrgyzstan,19.8,72,52.2,264
LAO,Laos,10.7,62,51.3,477
LVA,Latvia,73.1,91.2,18.1,25
LBN,Lebanon,61.2,84.1,22.9,37
LSO,Lesotho,10,43,33,330
LBR,Liberia,2.6,25.6,23,885
LBY,Libya,15.2,,,0
LIE,Liechtenstein,89.4,99.5,10.1,11
LTU,Lithuania,67.2,86.9,19.7,29
LUX,Luxembourg,91.9,98.8,6.9,7
MAC,Macao,61.3,88.1,26.8,44
MDG,Madagascar,2.3,15,12.7,552
MWI,Malawi,4.4,9.9,5.5,128
MYS,Malaysia,65.8,96.8,31,47
MDV,Maldives,38.9,62.9,24,62
MLI,Mali,2.8,27.4,24.6,879
MLT,Malta,68.2,87.5,19.3,28
MHL,Marshall Islands,12.5,38.7,26.2,210
MRT,Mauritania,5,40.8,35.8,716
MUS,Mauritius,35.4,64.9,29.5,83
MEX,Mexico,39.8,72,32.2,81
FSM,Micronesia (country),26,35.3,9.3,36
MDA,Moldova,43.4,76.1,32.8,76
MCO,Monaco,87,97.1,10.1,12
MNG,Mongolia,16.4,84.3,67.9,414
MNE,Montenegro,56.8,82.2,25.4,45
MAR,Morocco,55.4,88.1,32.7,59
MOZ,Mozambique,5,16.5,11.5,230
MMR,Myanmar,1.4,35.1,33.7,2407
NAM,Namibia,12.9,41,28.1,217
NRU,Nauru,54,62.4,8.4,16
NPL,Nepal,11.1,37.7,26.6,238
NLD,Netherlands,92.9,92.1,-0.8,-1
NCL,New Caledonia,58,82,24,41
NZL,New Zealand,81.6,91.5,9.9,12
NIC,Nicaragua,13.5,45.2,31.7,235
NER,Niger,1.1,10.2,9.2,874
NGA,Nigeria,16.1,35.5,19.4,120
MKD,North Macedonia,57.4,81.4,24,42
NOR,Norway,94.6,99,4.4,5
OMN,Oman,60,95.2,35.2,59
PAK,Pakistan,8.1,25,16.9,209
PSE,Palestine,43.4,74.6,31.2,72
PAN,Panama,40.3,64.3,23.9,59
PNG,Papua New Guinea,3.5,11.2,7.7,220
PRY,Paraguay,29.3,77,47.7,163
PER,Peru,38.2,71.1,32.9,86
PHL,Philippines,30.8,49.8,19,62
POL,Poland,62.3,85.4,23.1,37
PRT,Portugal,60.3,82.3,22,36
PRI,Puerto Rico,69,77.7,8.7,13
QAT,Qatar,69.3,99.7,30.4,44
ROU,Romania,45.9,83.6,37.7,82
RUS,Russia,66,88.2,22.2,34
RWA,Rwanda,8,23.8,15.8,197
KNA,Saint Kitts and Nevis,64,80.7,16.7,26
LCA,Saint Lucia,34.8,53.3,18.5,53
VCT,Saint Vincent and the Grenadines,40,56,16,40
WSM,Samoa,12.9,33.6,20.7,160
SMR,San Marino,49.6,60.2,10.6,21
STP,Sao Tome and Principe,21.6,33,11.4,53
SAU,Saudi Arabia,54,100,46,85
SEN,Senegal,10.8,42.6,31.8,294
SRB,Serbia,48.1,81.2,33.1,69
SYC,Seychelles,47.1,79,31.9,68
SLE,Sierra Leone,2.5,18,15.5,620
SGP,Singapore,72,92,20,28
SVK,Slovakia,76.7,88.9,12.2,16
SVN,Slovenia,68.3,89,20.7,30
SLB,Solomon Islands,7,11.9,4.9,70
SOM,Somalia,1.4,2,0.6,46
ZAF,South Africa,41,70,29,71
KOR,South Korea,84.1,97.6,13.5,16
SSD,South Sudan,2.2,6.5,4.3,195
ESP,Spain,69.8,93.9,24.1,35
LKA,Sri Lanka,10.5,35,24.5,233
SDN,Sudan,14.1,28.4,14.3,101
SUR,Suriname,34.7,70.1,35.4,102
SWE,Sweden,93.2,88.3,-4.9,-5
CHE,Switzerland,85.2,95.6,10.4,12
SYR,Syria,24.3,35.8,11.5,47
TJK,Tajikistan,14.5,22,7.5,51
TZA,Tanzania,4,22,18.1,457
THA,Thailand,26.5,85.3,58.8,222
TGO,Togo,4,24,20,500
TON,Tonga,30,41.2,11.2,37
TTO,Trinidad and Tobago,57.5,70.6,13.1,23
TUN,Tunisia,41.4,71.9,30.5,73
TUR,Turkey,45.1,81.4,36.3,80
TKM,Turkmenistan,7.2,21.3,14.1,195
TCA,Turks and Caicos Islands,,,,0
TUV,Tuvalu,18.7,35.2,16.5,88
UGA,Uganda,4.8,6.1,1.3,27
UKR,Ukraine,35.3,75,39.8,113
ARE,United Arab Emirates,85,100,15,18
GBR,United Kingdom,87.5,94.8,7.3,8
USA,United States,74.7,90.9,16.2,22
VIR,United States Virgin Islands,40.5,64.4,23.8,59
URY,Uruguay,54.5,86.1,31.6,58
UZB,Uzbekistan,23.6,71.1,47.5,201
VUT,Vanuatu,10.6,25.7,15.1,143
VEN,Venezuela,49.1,61.6,12.5,26
VNM,Vietnam,36.8,74.2,37.4,102
YEM,Yemen,17.4,26.7,9.3,53
ZMB,Zambia,4.1,19.8,15.7,383
ZWE,Zimbabwe,12,29.3,17.3,144